timestamp,machine_id,pressure,rpm,temperature,vibration,voltage
2026-04-10 06:15:38.629000+00:00,machine-001,97.69,2126.96,49.4,0.03,213.91
2026-04-10 06:15:41.634000+00:00,machine-001,102.81,2589.13,74.42,0.04,237.45
2026-04-10 06:15:44.650000+00:00,machine-001,94.98,2329.25,66.26,0.03,228.28
2026-04-10 06:15:47.662000+00:00,machine-001,113.75,2446.62,57.37,0.02,231.07
2026-04-10 06:15:50.662000+00:00,machine-001,115.93,2742.44,49.29,0.05,230.86
2026-04-10 06:15:53.672000+00:00,machine-001,113.21,2794.31,54.11,0.05,220.41
2026-04-10 06:15:56.683000+00:00,machine-001,110.85,2762.94,74.14,0.01,218.95
2026-04-10 06:15:59.695000+00:00,machine-001,117.64,1271.6,108.05,0.03,224.66
2026-04-10 06:16:02.709000+00:00,machine-001,93.31,1291.01,47.59,0.03,225.62
2026-04-10 06:16:05.716000+00:00,machine-001,106.06,1300.09,65.26,0.03,220.58
2026-04-10 06:16:08.717000+00:00,machine-001,112.24,2040.76,61.38,0.02,214.5
2026-04-10 06:16:11.725000+00:00,machine-001,109.44,1644.4,63.91,0.02,237.32
2026-04-10 06:16:14.737000+00:00,machine-001,110.4,2794.24,58.38,0.05,230.75
2026-04-10 06:16:17.748000+00:00,machine-001,101.98,2754.15,77.86,0.01,224.46
2026-04-10 06:16:20.754000+00:00,machine-001,99.34,3033.37,70.45,0.03,231.98
2026-04-10 06:16:23.766000+00:00,machine-001,101.15,1780.93,68.22,0.03,231.04
2026-04-10 06:16:26.781000+00:00,machine-001,102.11,2152.48,79.58,0.04,211.21
2026-04-10 06:18:40.337000+00:00,machine-001,92.82,2728.32,77.39,0.04,210.28
2026-04-10 06:18:43.348000+00:00,machine-001,102.57,1226.68,67.22,0.02,228.58
2026-04-10 06:18:46.355000+00:00,machine-001,102.12,1716.52,54.35,0.02,229.35
2026-04-10 06:18:49.370000+00:00,machine-001,115.32,1380.83,75.92,0.04,223.93
2026-04-10 06:18:52.382000+00:00,machine-001,107.88,1581.75,76.52,0.03,239.27
2026-04-10 06:18:55.392000+00:00,machine-001,99.76,2092.61,77.47,0.03,216.23
2026-04-10 06:18:58.402000+00:00,machine-001,93.88,2903.11,58.21,0.03,235.97
2026-04-10 06:19:01.407000+00:00,machine-001,117.98,2026.84,48.37,0.01,218.51
2026-04-10 06:19:04.409000+00:00,machine-001,103.01,2913.81,54.83,0.03,234.06
2026-04-10 06:19:07.410000+00:00,machine-001,105.67,2039.72,45.18,0.01,232.61
2026-04-10 06:19:10.421000+00:00,machine-001,102.71,2700.96,63.33,0.04,225.05
2026-04-10 06:19:13.435000+00:00,machine-001,119.52,2461.49,71.28,0.04,226.2
2026-04-10 06:19:16.435000+00:00,machine-001,108.41,2661.13,64.37,0.02,236.05
2026-04-10 06:19:19.437000+00:00,machine-001,107.41,3094.23,92.64,0.06,235.71
2026-04-10 06:19:22.446000+00:00,machine-001,111.64,1915.96,76.63,0.03,223.02
2026-04-10 06:19:25.450000+00:00,machine-001,109.26,1583.49,50.9,0.02,235.91
2026-04-10 06:19:28.458000+00:00,machine-001,101.12,1452.73,45.96,0.04,226.35
2026-04-10 06:19:31.462000+00:00,machine-001,96.41,3176.38,63.96,0.05,210.27
2026-04-10 06:19:34.468000+00:00,machine-001,110.61,2175.24,76.2,0.02,218.25
2026-04-10 06:19:37.475000+00:00,machine-001,95.37,2493.12,72.43,0.03,216.18
2026-04-10 06:19:40.480000+00:00,machine-001,93.57,3194.17,48.17,0.04,223.34
2026-04-10 06:19:43.480000+00:00,machine-001,106.52,1927.06,71.89,0.03,218.64
2026-04-10 06:19:46.480000+00:00,machine-001,112.63,2236.88,56.06,0.03,219.96
2026-04-10 06:19:49.481000+00:00,machine-001,107.08,1232.03,71.22,0.03,233.73
2026-04-10 06:19:52.489000+00:00,machine-001,104.36,1984.76,65.21,0.01,224.92
2026-04-10 06:19:55.500000+00:00,machine-001,106.57,1861.87,54.27,0.02,234.29
2026-04-10 06:19:58.508000+00:00,machine-001,105.86,2956.59,72.86,0.02,218.36
2026-04-10 06:20:01.511000+00:00,machine-001,119.66,2218.04,73.25,0.03,212.27
2026-04-10 06:20:04.518000+00:00,machine-001,111.93,1549.15,54.29,0.04,218.2
2026-04-10 06:20:07.534000+00:00,machine-001,114.15,2524.71,60.19,0.03,232.11
2026-04-10 06:20:10.535000+00:00,machine-001,108.17,2694.6,77.21,0.02,221.15
2026-04-10 06:20:13.538000+00:00,machine-001,111.91,1472.88,92.47,0.03,212.13
2026-04-10 06:20:16.550000+00:00,machine-001,112.15,1204.55,73.63,0.02,210.44
2026-04-10 06:20:19.551000+00:00,machine-001,101.15,2480.3,65.54,0.05,228.61
2026-04-10 06:20:22.564000+00:00,machine-001,111.18,2133.58,67.77,0.05,211.38
2026-04-10 06:20:25.569000+00:00,machine-001,113.31,2474.22,70.39,0.01,238.29
2026-04-10 06:20:28.581000+00:00,machine-001,90.96,2870.44,78.8,0.02,223.35
2026-04-10 06:20:31.583000+00:00,machine-001,115.83,1923.87,63.73,0.05,213.47
2026-04-10 06:20:34.586000+00:00,machine-001,115.93,2075.99,60.83,0.02,233.63
2026-04-10 06:20:37.587000+00:00,machine-001,109.75,2385.69,45.04,0.04,214.67
2026-04-10 06:35:00.775000+00:00,machine-001,107.1723921809168,1443.1807585707136,74.6230483177941,0.044333535180830004,227.1989985859753
2026-04-10 06:35:02.780000+00:00,machine-001,103.78314115393457,1750.9426703371698,71.7009427569806,0.04682309896897805,233.56437445913383
2026-04-10 06:35:04.783000+00:00,machine-001,99.86101455565738,1791.078326815724,73.55442382119024,0.03648391038262021,211.97610674423552
2026-04-10 06:35:06.787000+00:00,machine-001,108.26031188596993,2811.5108012128344,74.01400966499924,0.02515969267975459,234.66561382893786
2026-04-10 06:35:08.789000+00:00,machine-001,111.21545591498551,1635.2449392464746,55.151563967984266,0.016800536336336096,237.90695451268516
2026-04-10 06:35:10.790000+00:00,machine-001,96.14715210819367,2680.1717871693418,69.01622012052887,0.017490886079000637,212.8505383614583
2026-04-10 06:35:12.791000+00:00,machine-001,113.78068289814078,2905.080229711165,59.06561679260806,0.023999674167719136,219.11661637053408
2026-04-10 06:35:14.792000+00:00,machine-001,115.65691590082307,1639.8761228151388,50.94447728491823,0.04326034914703377,220.75221982860324
2026-04-10 06:35:16.794000+00:00,machine-001,115.3230159153124,2642.411691075149,61.99263436457001,0.04121685397237434,221.29715923200678
2026-04-10 06:35:18.798000+00:00,machine-001,104.56659888174292,2486.028673009945,58.4127949964402,0.02775119027295292,218.52753259964126
2026-04-10 06:35:20.801000+00:00,machine-001,112.67898633677612,1853.2553584936672,75.11414992891241,0.0438325551728209,216.51419050349892
2026-04-10 06:35:22.805000+00:00,machine-001,113.59938610716608,3043.5043678275633,71.07165781121942,0.04220770929750418,232.71100789291802
2026-04-10 06:35:24.806000+00:00,machine-001,98.10453455715935,2931.179091801105,58.11942853450703,0.048084792560929256,210.09306032820217
2026-04-10 06:35:26.807000+00:00,machine-001,101.73149017615975,2485.574030077447,57.12762047709594,0.02849962390467091,238.3493255018555
2026-04-10 06:35:28.809000+00:00,machine-001,112.96334134179912,2679.785850167297,106.61145427850349,0.08493789762738066,236.97921065493344
2026-04-10 06:35:30.812000+00:00,machine-001,116.4289050252534,3042.8534444276315,100.04183302100515,0.13474794002321666,231.74776616430293
2026-04-10 06:35:32.814000+00:00,machine-001,108.88733350885789,2198.622235597029,68.51602166640274,0.020995363835632552,219.28937065309572
2026-04-10 06:35:34.815000+00:00,machine-001,113.99501293831356,2639.621604192655,71.25200196775683,0.029030544521019455,218.22834983458657
